,PARID,PROPERTYZIP,SALEDATE,SALEPRICE,STORIES,YEARBLT,TOTALROOMS,BEDROOMS,FULLBATHS,HALFBATHS,FINISHEDLIVINGAREA,LOGPRICE,AREA100
157248,0372C00010000000,15235,3/8/93,135000.0,1.0,1963.0,7.0,3.0,2.0,1.0,2052.0,11.813030057420567,20.52
218647,0279D00307000000,15229,9/14/87,42500.0,2.0,1925.0,6.0,3.0,1.0,0.0,1484.0,10.657259354912508,14.84
176941,0018N00182000000,15205,5/15/00,10.0,1.0,1959.0,5.0,3.0,1.0,1.0,972.0,2.302585092994046,9.72
389312,0296F00302000000,15235,9/27/95,62000.0,2.0,1953.0,6.0,3.0,2.0,0.0,1232.0,11.03488966402723,12.32
299950,0148H00302000000,15106,3/30/16,343142.0,2.0,2016.0,8.0,4.0,2.0,1.0,2756.0,12.745899634645232,27.56
357617,0194M00233000000,15243,7/29/94,143000.0,1.0,1957.0,7.0,3.0,2.0,0.0,1908.0,11.870599909242044,19.08
128873,0382H00193000000,15132,1/3/08,4000.0,2.0,1925.0,8.0,4.0,2.0,0.0,1641.0,8.294049640102028,16.41
77359,0097M00104000000,15226,4/27/06,55300.0,1.0,1925.0,4.0,2.0,1.0,0.0,600.0,10.920528187510426,6.0
226976,0297K00099000000,15221,1/4/96,45400.0,2.0,1953.0,6.0,3.0,1.0,1.0,1196.0,10.72326738402944,11.96
296844,1202H00006000000,15143,1/3/14,258487.0,2.0,2013.0,7.0,3.0,2.0,1.0,1714.0,12.462600681530633,17.14
203371,0421F00044000000,15143,5/18/98,187000.0,2.0,1880.0,8.0,4.0,2.0,0.0,3834.0,12.138863895836725,38.34
306025,0653D00182000000,15135,9/6/84,45500.0,1.5,1947.0,6.0,3.0,1.0,0.0,1254.0,10.725467604939041,12.54
126501,0307H00382000000,15132,7/21/08,10000.0,2.0,1920.0,5.0,3.0,1.0,0.0,1560.0,9.210340371976184,15.6
392476,0369P00130000000,15235,9/3/10,24600.0,2.0,1950.0,5.0,2.0,1.0,1.0,1186.0,10.110501721920453,11.86
336081,0156H00038000000,15108,2/26/15,114000.0,1.0,1960.0,5.0,2.0,1.0,0.0,876.0,11.643953727376633,8.76
348083,0809P00032000000,15108,4/3/03,167900.0,2.0,1984.0,8.0,4.0,2.0,1.0,2016.0,12.031123843065632,20.16
28240,0082R00071000000,15206,12/3/98,41000.0,2.0,1905.0,6.0,3.0,2.0,0.0,2088.0,10.621327345686446,20.88
26892,0082F00202000000,15206,5/17/01,182000.0,2.0,1920.0,7.0,3.0,3.0,1.0,2346.0,12.111761966058932,23.46
224645,0233D00224000000,15221,6/11/90,28000.0,2.0,1900.0,10.0,4.0,2.0,0.0,2072.0,10.239959789157341,20.72
278808,0859L00211000000,15146,2/21/13,198000.0,1.5,1935.0,7.0,3.0,1.0,1.0,2071.0,12.196022309676673,20.71
351131,0099H00142000000,15216,6/17/15,412000.0,2.0,1927.0,6.0,3.0,2.0,0.0,1998.0,12.928778628331663,19.98
387567,0231C00374000000,15235,2/28/03,39500.0,2.0,1965.0,8.0,4.0,2.0,0.0,1800.0,10.584055950889214,18.0
253559,0475M00103000000,15102,3/30/15,210825.0,1.0,1955.0,6.0,3.0,2.0,0.0,1951.0,12.258783684442843,19.51
247914,0461S00309000000,15131,9/12/91,43000.0,1.0,1926.0,5.0,2.0,1.0,0.0,1116.0,10.668955394675699,11.16
193023,0301E00052000000,15104,4/21/77,15600.0,2.0,1905.0,6.0,3.0,1.0,0.0,1500.0,9.655026193237628,15.0
312399,0591P00264000000,15108,3/13/12,145000.0,2.0,1997.0,5.0,3.0,1.0,1.0,1324.0,11.884489021402711,13.24
218141,0279B00111000000,15229,4/29/16,133000.0,2.0,1929.0,6.0,3.0,1.0,0.0,1693.0,11.79810440720389,16.93
390412,0366N00237000000,15147,5/3/04,82400.0,2.0,1950.0,6.0,2.0,1.0,0.0,1468.0,11.319340715897564,14.68
102246,0114M00104000000,15212,6/8/82,37500.0,2.0,1942.0,6.0,3.0,1.0,0.0,1100.0,10.532096211958502,11.0
378621,0548P00088000000,15137,6/6/03,112000.0,1.0,1949.0,6.0,3.0,2.0,0.0,1582.0,11.626254150277232,15.82
399080,0538P00078000000,15235,8/17/78,42900.0,1.0,1961.0,7.0,3.0,1.0,0.0,1287.0,10.666627104916108,12.87
105945,0067R00016000000,15106,5/4/17,49900.0,2.0,1925.0,6.0,3.0,1.0,0.0,1742.0,10.81777628173961,17.42
20670,0080L00015000000,15201,11/2/11,209500.0,2.0,1910.0,6.0,2.0,2.0,1.0,1432.0,12.25247901834433,14.32
228326,0287J00102000000,15215,8/1/94,520875.0,2.0,1976.0,9.0,4.0,3.0,1.0,3474.0,13.163265368724755,34.74
15510,0085B00062119100,15232,6/7/18,225000.0,1.0,1968.0,6.0,2.0,2.0,0.0,1928.0,12.323855681186558,19.28
15532,0085A00186000400,15232,2/1/17,345000.0,2.0,1980.0,5.0,2.0,1.0,1.0,872.0,12.751299696013497,8.72
267624,0473G00008000000,15236,5/2/06,83000.0,1.0,1946.0,5.0,2.0,1.0,0.0,939.0,11.326595886778735,9.39
246007,0315F00065000000,15236,11/5/09,10.0,1.0,1950.0,6.0,3.0,2.0,1.0,1576.0,2.302585092994046,15.76
291556,1242B00118000000,15239,5/20/10,182500.0,2.0,1972.0,8.0,4.0,2.0,1.0,1872.0,12.114505452004684,18.72
317777,0615C00332000000,15101,8/20/13,181000.0,1.0,1952.0,6.0,3.0,1.0,1.0,1430.0,12.106252310247962,14.3
267155,0390M00013000000,15236,10/30/17,191000.0,1.0,1956.0,6.0,3.0,1.0,1.0,800.0,12.160028707028767,8.0
184318,0118R00001000000,15209,3/25/16,79000.0,2.0,1905.0,4.0,2.0,2.0,0.0,1024.0,11.27720313144916,10.24
95188,0047D00133000000,15212,12/1/00,28000.0,2.0,1917.0,4.0,2.0,1.0,0.0,1358.0,10.239959789157341,13.58
29505,0123P00062000000,15206,5/19/05,64900.0,2.0,1938.0,6.0,3.0,1.0,0.0,1242.0,11.080602902692181,12.42
403319,1499B00030000000,15090,12/23/97,235000.0,2.0,1991.0,9.0,4.0,2.0,1.0,2336.0,12.367340793126296,23.36
258528,0667M00145000000,15102,5/28/74,39000.0,2.0,1973.0,8.0,4.0,2.0,1.0,1848.0,10.571316925111784,18.48
327994,1519E00106000000,15065,10/9/07,55000.0,1.0,1956.0,5.0,2.0,1.0,1.0,1351.0,10.915088464214607,13.51
