"Entity","Code","Year","coffe_prod"
"Nicaragua","NIC",1993,41818
"Nicaragua","NIC",1994,40551
"Nicaragua","NIC",1995,54587
"Nicaragua","NIC",1996,49900
"Nicaragua","NIC",1997,65169
"Nicaragua","NIC",1998,65420
"Nicaragua","NIC",1999,91791
"Nicaragua","NIC",2000,82206
"Nicaragua","NIC",2001,66799
"Nicaragua","NIC",2002,60235
"Nicaragua","NIC",2003,82727
"Nicaragua","NIC",2004,57533
"Nicaragua","NIC",2005,95455
"Nicaragua","NIC",2006,70455
"Nicaragua","NIC",2007,1e+05
"Nicaragua","NIC",2008,75957
"Nicaragua","NIC",2009,92204.55
"Nicaragua","NIC",2010,78712.27
"Nicaragua","NIC",2011,103881.73
"Nicaragua","NIC",2012,86943.73
"Nicaragua","NIC",2013,84146.33
"Nicaragua","NIC",2014,86089.58
"Nicaragua","NIC",2015,95254.51
"Nicaragua","NIC",2016,122470.09
"Nicaragua","NIC",2017,128111.06
"Nicaragua","NIC",2018,141931
"Nicaragua","NIC",2019,156902
"Nicaragua","NIC",2020,154409.88
"Nicaragua","NIC",2021,165558.38
"Nicaragua","NIC",2022,170180.53
"Nicaragua","NIC",2023,143336.66
"Nigeria","NGA",1961,1100
"Nigeria","NGA",1962,2000
"Nigeria","NGA",1963,2000
"Nigeria","NGA",1964,3000
"Nigeria","NGA",1965,3000
"Nigeria","NGA",1966,4000
"Nigeria","NGA",1967,1712
"Nigeria","NGA",1968,2360
"Nigeria","NGA",1969,4776
"Nigeria","NGA",1970,2826
"Nigeria","NGA",1971,3600
"Nigeria","NGA",1972,4171
"Nigeria","NGA",1973,2300
"Nigeria","NGA",1974,2400
"Nigeria","NGA",1975,3000
"Nigeria","NGA",1976,3000
"Nigeria","NGA",1977,3100
"Nigeria","NGA",1978,3100
"Nigeria","NGA",1979,3200
"Nigeria","NGA",1980,3500
"Nigeria","NGA",1981,3000
"Nigeria","NGA",1982,3000
"Nigeria","NGA",1983,3000
"Nigeria","NGA",1984,4000
"Nigeria","NGA",1985,6000
"Nigeria","NGA",1986,1200
"Nigeria","NGA",1987,1500
"Nigeria","NGA",1988,1570
"Nigeria","NGA",1989,2570
"Nigeria","NGA",1990,3030
"Nigeria","NGA",1991,3200
"Nigeria","NGA",1992,3380
"Nigeria","NGA",1993,3580
"Nigeria","NGA",1994,3720
"Nigeria","NGA",1995,3090
"Nigeria","NGA",1996,3780
"Nigeria","NGA",1997,3700
"Nigeria","NGA",1998,3700
