county_fips,dem_share_2000,dem_share_2004,dem_share_2008,dem_share_2012,dem_share_2016,dem_share_2020,dem_share_2024,total_votes_2000,total_votes_2004,total_votes_2008,total_votes_2012,total_votes_2016,total_votes_2020,total_votes_2024
49049,0.1433740191804708,0.11918888110639583,0.19478756975051223,0.09918441609128112,0.21821826416942097,0.0,0.2944978208333189,120256.0,149173.0,157279.0,177713.0,201551.0,284286.0,298143.0
49051,0.27875354107648725,0.252004893298899,0.3475126171593367,0.23281266602911488,0.3337328393985618,0.0,0.35975270134788906,5675.0,7512.0,8531.0,9589.0,12120.0,17790.0,18354.0
49053,0.1765979448070833,0.17412969916098828,0.22489976525333943,0.1571980767417743,0.1943405493218482,0.0,0.23381016210782055,32461.0,44018.0,49529.0,54012.0,61963.0,91070.0,97256.0
49055,0.1748917748917749,0.2080536912751678,0.2627450980392157,0.16487730061349692,0.2190784155214228,0.0,0.23533045089561458,1225.0,1360.0,1314.0,1327.0,1421.0,1621.0,1651.0
49057,0.3362978493169214,0.2795063396237036,0.3587091724783721,0.26788631607371904,0.3650380330145504,0.0,0.3790710287074742,62742.0,72691.0,73394.0,75912.0,85039.0,111403.0,112054.0
50001,0.5624016615268425,0.6116659350307287,0.6996661190312152,0.7020045819014891,0.6792806975054493,0.6967584041374215,0.6806172943051245,17427.0,18579.0,19238.0,17910.0,19031.0,22611.0,24844.0
50003,0.5532658693652254,0.5924003211131924,0.6712761966018117,0.6693796872274868,0.6168520434557683,0.638144440856743,0.6710968102965864,17677.0,19065.0,19129.0,17593.0,17381.0,19357.0,29751.0
50005,0.4648155493851646,0.5122918318794607,0.6192596715836348,0.6168674698795181,0.538024876867852,0.5901196983325261,0.6115608299276957,13641.0,14211.0,14728.0,13661.0,14075.0,15158.0,26432.0
50007,0.5999908061476226,0.651383409639667,0.7283134590949076,0.7131401518677607,0.7466321596404004,0.7839255390038907,0.769542267708921,72017.0,77696.0,83440.0,77080.0,83418.0,96755.0,51798.0
50009,0.41923505384329746,0.44506452738053714,0.5744116672190918,0.5693673695893452,0.4035643564356436,0.4662062160828811,0.617078214329157,2892.0,2937.0,3101.0,2798.0,2925.0,4237.0,8625.0
5001,0.46179775280898877,0.4507899695608059,0.38492063492063494,0.38649244332493704,0.3363399826539462,0.5425867507886435,0.4520547945205479,6372.0,6946.0,6978.0,6494.0,6212.0,6292.0,11094.0
50011,0.5312412753364231,0.5425412101976042,0.6266165842525675,0.619514952214572,0.5165442191901894,0.5469742023627743,0.6030103941949402,19194.0,19920.0,21460.0,19888.0,21411.0,26072.0,21224.0
50013,0.5420974889217134,0.5615,0.6438814531548758,0.6324337831084458,0.5847528623289584,0.603971119133574,0.5652520740268028,3638.0,4077.0,4269.0,4075.0,4110.0,5782.0,6499.0
50015,0.5602052901697592,0.6418964357767317,0.717193659988736,0.7146760010245027,0.6697807788363703,0.7208913276231264,0.6350354997269252,11246.0,12181.0,12668.0,11988.0,12762.0,15679.0,7617.0
50017,0.4939492325855962,0.5596021947873799,0.6600431092550182,0.6642271662763466,0.6009722664966528,0.5908865775136206,0.7020138923592024,14695.0,14895.0,15179.0,14053.0,14649.0,14876.0,20818.0
50019,0.48549374500931597,0.527675891963988,0.6408653846153847,0.623041232600893,0.5012567672080434,0.5226032473219699,0.5703324808184144,12132.0,12242.0,12771.0,11692.0,12047.0,15442.0,17413.0
50021,0.5080621731551423,0.5241233851832323,0.625585830181971,0.6119686280127493,0.5221337213755074,0.5617452278924815,0.5751682563276767,29362.0,30975.0,31617.0,28609.0,29619.0,34772.0,25202.0
50023,0.5717011485652288,0.6259220575755597,0.7097574158267892,0.7154760230628604,0.6993643509986084,0.7424574065309986,0.676214196762142,29749.0,31448.0,32200.0,29307.0,31086.0,35325.0,37551.0
50025,0.6060395138405525,0.6802670297334095,0.7456958697311509,0.7498245449866654,0.7244619581691422,0.7344734143840633,0.6771827500883705,21491.0,23316.0,24081.0,21937.0,22635.0,28452.0,23597.0
50027,0.563810375004655,0.6176294423000133,0.702437106918239,0.6939342161469457,0.6710752647070066,0.7097153004525405,0.6405677033817737,29147.0,30767.0,31165.0,28699.0,29928.0,36308.0,30515.0
5003,0.5231885840816829,0.45939867424242425,0.3550465282748747,0.3700491845715765,0.310870126516912,0.5481832543443917,0.35911602209944754,8271.0,8512.0,8642.0,7921.0,8083.0,7926.0,14060.0
5005,0.4058801544786346,0.39048036369611655,0.33721829714816154,0.27423117709437966,0.22115537637260624,0.5158597662771286,0.35041551246537395,16708.0,18530.0,19981.0,19339.0,19766.0,21007.0,41908.0
5007,0.3315168377626403,0.30828642298037934,0.313357061312202,0.29290132242954375,0.31510193978126827,0.6295279912184413,0.5133053221288515,53646.0,68121.0,76073.0,79257.0,96824.0,119912.0,257190.0
5009,0.3439748889909662,0.32148548465322524,0.2954696868754164,0.2526287589578729,0.19299518501418111,0.450965250965251,0.3087818696883853,13635.0,14777.0,15474.0,15391.0,16111.0,17114.0,34224.0
5011,0.5420178799489145,0.5231207019207967,0.426179604261796,0.4044097125313983,0.3783395575983913,0.5806451612903226,0.42105263157894735,3979.0,4249.0,4041.0,3652.0,3653.0,3654.0,6418.0
5013,0.47412587412587415,0.4126149802890933,0.32094751509521596,0.311614730878187,0.2911161731207289,0.35135135135135137,0.36585365853658536,2185.0,2303.0,2217.0,2174.0,2269.0,2182.0,4184.0
5015,0.39285324008305106,0.40222329627839537,0.4068259385665529,0.37633642195295797,0.3299763033175355,0.6654215581643543,0.5533980582524272,9590.0,10481.0,10579.0,10183.0,10758.0,11797.0,23076.0
5017,0.6432481751824818,0.6343789741415854,0.589500193723363,0.6133364204677009,0.5779636005902608,0.6720430107526881,0.6041666666666666,4452.0,4757.0,5208.0,4361.0,4176.0,4103.0,6980.0
5019,0.5524475524475524,0.5470807726075505,0.4807887323943662,0.4673779740004906,0.4511465603190429,0.6477987421383647,0.599009900990099,8626.0,9189.0,9094.0,8409.0,8526.0,8395.0,15314.0
5021,0.6101020584673932,0.5419226299186451,0.42532221379833207,0.35019141648196656,0.24076305220883534,0.4904214559386973,0.3695652173913043,5900.0,6096.0,5511.0,5110.0,5200.0,5183.0,9934.0
5023,0.4182741116751269,0.40177732205417416,0.27041143590213507,0.23159197383541058,0.1817631282982957,0.47518610421836227,0.25386996904024767,10207.0,11835.0,11338.0,11647.0,12085.0,12680.0,25478.0
5025,0.4573091849935317,0.4191962995085285,0.27096966091612135,0.2675744141861938,0.22700156985871273,0.5,0.3023255813953488,3181.0,3496.0,3505.0,3266.0,3354.0,3600.0,6748.0
5027,0.4437423788936925,0.41760699400223644,0.3774827403080191,0.38054990906173103,0.3652861796184272,0.5714285714285714,0.44223107569721115,9307.0,9909.0,9558.0,9455.0,8887.0,8616.0,15880.0
5029,0.4965203806277517,0.49801216089803557,0.4016581632653061,0.39965420933634793,0.35389740173217854,0.6626794258373205,0.7676470588235295,7234.0,8649.0,8138.0,7730.0,7927.0,8685.0,17082.0
5031,0.504442814053966,0.46348743343621746,0.37428334714167355,0.34093338083363023,0.31522584504935686,0.5848522941546197,0.4622905027932961,25157.0,29801.0,30968.0,31700.0,35573.0,38511.0,74484.0
5033,0.36789141118652,0.33559910692135947,0.26287262872628725,0.2437331469090183,0.2119580617738736,0.5213505461767627,0.42786069651741293,17625.0,20401.0,20532.0,20591.0,22450.0,24091.0,47668.0
5035,0.5522513569298984,0.5442888143618071,0.5745272525027809,0.5754928723081589,0.5470274489397684,0.6521212121212121,0.6282420749279539,13234.0,15300.0,18255.0,16716.0,15952.0,16367.0,29362.0
5037,0.5051395007342144,0.4479211315902272,0.3699985658970314,0.348045204642639,0.3036609448579675,0.5796344647519582,0.48936170212765956,6215.0,7074.0,7130.0,6681.0,6874.0,6942.0,13068.0
5039,0.521182566290765,0.4952465834818776,0.4557001239157373,0.4453697534976682,0.4356768885564697,0.5849056603773585,0.5111111111111111,3325.0,3383.0,3318.0,3084.0,2771.0,2649.0,4648.0
5041,0.6339346882849966,0.6224890829694323,0.5623905429071804,0.5630329569025121,0.5372558476006752,0.6342182890855457,0.5416666666666666,4495.0,4647.0,4678.0,4420.0,4257.0,4164.0,7010.0
5043,0.5261348005502063,0.4750563244287094,0.4022917311861257,0.403559920208685,0.37344070740565294,0.5372881355932203,0.4939759036144578,5922.0,6249.0,6610.0,6633.0,6595.0,6908.0,12730.0
5045,0.426709516157829,0.403250859869078,0.3709353374507032,0.3376298242569963,0.33266628766344514,0.6504854368932039,0.5043572984749455,29216.0,36686.0,41179.0,41460.0,47527.0,54428.0,108930.0
5047,0.4493362460090741,0.41841702601196273,0.2976114649681529,0.2715117193644801,0.21449727201870616,0.49019607843137253,0.275,6140.0,7289.0,6475.0,6540.0,6770.0,7129.0,13942.0
5049,0.49252243270189433,0.48446443172526577,0.4023446140234461,0.32992501704158145,0.2351256059938299,0.5355029585798816,0.4296875,4108.0,4955.0,4676.0,4522.0,4772.0,5119.0,10086.0
5051,0.45337454920144254,0.45356262885301957,0.3721327591049527,0.3466773820885027,0.3206156570654722,0.6195872116552004,0.49904580152671757,35935.0,40154.0,43719.0,40728.0,40805.0,44199.0,84654.0
5053,0.43556701030927836,0.375092881557438,0.23720577069096432,0.2331268858186438,0.19343477035784729,0.4897119341563786,0.3431372549019608,6013.0,6770.0,6793.0,6479.0,7445.0,8200.0,16156.0
5055,0.520082304526749,0.4756760675705068,0.34613918743806693,0.30602096243592686,0.22268145892248567,0.5203520352035204,0.42524916943521596,12484.0,13947.0,13612.0,13761.0,14600.0,16100.0,31640.0
5057,0.5472616068946344,0.5160200081113965,0.40170820498459814,0.365521327014218,0.3506934198878725,0.46534653465346537,0.43673469387755104,7289.0,7452.0,7349.0,6921.0,7049.0,6848.0,12178.0
5059,0.5229444602138329,0.49751369574378423,0.37296686092024006,0.35050791617095267,0.2781556399611342,0.5833333333333334,0.43775100401606426,10981.0,12068.0,11955.0,11260.0,11944.0,12557.0,24566.0
5061,0.4700387331966279,0.4418604651162791,0.3712523920901552,0.3371533348613339,0.2996894409937888,0.4744744744744745,0.4330708661417323,4459.0,4943.0,4846.0,4462.0,4674.0,4834.0,8946.0
5063,0.45576122575502614,0.4228229627903364,0.30880013396968936,0.27321175784828045,0.22477958960755248,0.4843568945538818,0.37333333333333335,11594.0,13011.0,12299.0,12397.0,13614.0,14512.0,28022.0
5065,0.5292553191489362,0.4772098173094667,0.3594784353059178,0.298882133751716,0.21590688651794374,0.4694835680751174,0.37719298245614036,5032.0,5493.0,5218.0,5278.0,5448.0,5810.0,11850.0
5067,0.6155791603439554,0.5725688222837596,0.4144600938967136,0.40545771240565126,0.32639175257731956,0.5518672199170125,0.4583333333333333,6072.0,6219.0,5582.0,5347.0,5156.0,5091.0,9550.0
5069,0.6690079679770401,0.6581808450138829,0.6341002747252747,0.6472767691737681,0.630325313723923,0.7542542542542543,0.7575757575757576,27201.0,30493.0,29689.0,27383.0,25894.0,25158.0,43216.0
5071,0.4720658293633608,0.45657380562208494,0.38134741075917544,0.3559710034338039,0.2849260389762855,0.5086092715231788,0.3605769230769231,7161.0,8044.0,8180.0,8098.0,9112.0,9498.0,18118.0
5073,0.5400717703349283,0.49416587827183855,0.4020581973030518,0.40644490644490644,0.36989247311827955,0.4766666666666667,0.48333333333333334,3383.0,3191.0,2902.0,2929.0,2860.0,2679.0,4650.0
5075,0.5534772997789491,0.5456505003849115,0.38908098271155594,0.33583771600300527,0.2370940491834053,0.46285714285714286,0.42391304347826086,6040.0,6615.0,5830.0,5540.0,5685.0,5857.0,11384.0
5077,0.6687101520353115,0.6306930693069307,0.6088243206887275,0.6220844405078241,0.585357624831309,0.760797342192691,0.7633928571428571,4121.0,4080.0,3763.0,3424.0,3026.0,2848.0,5040.0
5079,0.5618719494688487,0.528009828009828,0.40492540847738573,0.3932119205298013,0.3377394119233882,0.5338345864661654,0.4024390243902439,3546.0,4109.0,4406.0,3726.0,3826.0,3875.0,6744.0
