,Year,Pick,Unnamed: 2,BPM,Rank_BPM,Pick.1,Avg_BPM,Rank_Pick
293,2014,54,Nemanja Dangubić,0.0,,,,
294,2014,55,Semaj Christon,-5.1,,,,
295,2014,56,Devyn Marble,-5.5,,,,
296,2014,57,Louis Labeyrie,0.0,,,,
297,2014,58,Jordan McRae,-2.1,,,,
298,2014,59,Xavier Thames,0.0,,,,
299,2014,60,Cory Jefferson,-3.3,,,,
300,2015,1,Karl-Anthony Towns,4.3,,,,
301,2015,2,D'Angelo Russell,0.6,,,,
302,2015,3,Jahlil Okafor,-2.0,,,,
303,2015,4,Kristaps Porziņģis,2.7,,,,
304,2015,5,Mario Hezonja,-2.8,,,,
305,2015,6,Willie Cauley-Stein,-0.1,,,,
306,2015,7,Emmanuel Mudiay,-3.2,,,,
307,2015,8,Stanley Johnson,-2.7,,,,
308,2015,9,Frank Kaminsky,-0.2,,,,
309,2015,10,Justise Winslow,-2.1,,,,
310,2015,11,Myles Turner,0.8,,,,
311,2015,12,Trey Lyles,-1.0,,,,
312,2015,13,Devin Booker,1.1,,,,
313,2015,14,Cameron Payne,-0.6,,,,
314,2015,15,Kelly Oubre Jr.,-1.8,,,,
315,2015,16,Terry Rozier,0.2,,,,
316,2015,17,Rashad Vaughn,-4.7,,,,
317,2015,18,Sam Dekker,-1.4,,,,
318,2015,19,Jerian Grant,-1.6,,,,
319,2015,20,Delon Wright,1.9,,,,
320,2015,21,Justin Anderson,-1.5,,,,
321,2015,22,Bobby Portis,-0.5,,,,
322,2015,23,Rondae Hollis-Jefferson,-0.7,,,,
323,2015,24,Tyus Jones,0.5,,,,
324,2015,25,Jarell Martin,-4.3,,,,
325,2015,26,Nikola Milutinov,0.0,,,,
326,2015,27,Larry Nance Jr.,1.1,,,,
327,2015,28,R.J. Hunter,-2.0,,,,
328,2015,29,Chris McCullough,-2.5,,,,
329,2015,30,Kevon Looney,0.3,,,,
330,2015,31,Cedi Osman,-2.1,,,,
331,2015,32,Montrezl Harrell,2.6,,,,
332,2015,33,Jordan Mickey,-4.8,,,,
333,2015,34,Anthony Brown,-5.1,,,,
334,2015,35,Willy Hernangómez,0.1,,,,
335,2015,36,Rakeem Christmas,-4.7,,,,
336,2015,37,Richaun Holmes,0.1,,,,
337,2015,38,Darrun Hilliard,-4.7,,,,
338,2015,39,Juan Pablo Vaulet,0.0,,,,
339,2015,40,Josh Richardson,-0.6,,,,
340,2015,41,Pat Connaughton,-0.5,,,,
341,2015,42,Olivier Hanlan,0.0,,,,
342,2015,43,Joe Young,-4.1,,,,
343,2015,44,Andrew Harrison,-2.8,,,,
344,2015,45,Marcus Thornton,0.0,,,,
345,2015,46,Norman Powell,0.1,,,,
346,2015,47,Artūras Gudaitis,0.0,,,,
347,2015,48,Dakari Johnson,-0.3,,,,
348,2015,49,Aaron White,0.0,,,,
349,2015,50,Marcus Eriksson,0.0,,,,
350,2015,51,Tyler Harvey,0.0,,,,
351,2015,52,Satnam Singh,0.0,,,,
352,2015,53,Sir'Dominic Pointer,0.0,,,,
353,2015,54,Dani Díez,0.0,,,,
354,2015,55,Cady Lalanne,0.0,,,,
355,2015,56,Branden Dawson,-5.7,,,,
356,2015,57,Nikola Radičević,0.0,,,,
357,2015,58,J.P. Tokoto,0.0,,,,
358,2015,59,Dimitrios Agravanis,0.0,,,,
359,2015,60,Luka Mitrović,0.0,,,,
360,2016,1,Ben Simmons,3.0,,,,
361,2016,2,Brandon Ingram,0.1,,,,
362,2016,3,Jaylen Brown,0.4,,,,
363,2016,4,Dragan Bender,-3.9,,,,
364,2016,5,Kris Dunn,-1.2,,,,
365,2016,6,Buddy Hield,0.2,,,,
366,2016,7,Jamal Murray,1.0,,,,
367,2016,8,Marquese Chriss,-2.4,,,,
