Year,Pick,,BPM,Rank_BPM,Pick,Avg_BPM,Rank_Pick
2016,25,Brice Johnson,-0.6,,,,
2016,26,Furkan Korkmaz,-2,,,,
2016,27,Pascal Siakam,2,,,,
2016,28,Skal Labissière,-2.3,,,,
2016,29,Dejounte Murray,1.4,,,,
2016,30,Damian Jones,-1,,,,
2016,31,Deyonta Davis,-2.1,,,,
2016,32,Ivica Zubac,0.8,,,,
2016,33,Cheick Diallo,-1.4,,,,
2016,34,Tyler Ulis,-3.6,,,,
2016,35,Rade Zagorac,0,,,,
2016,36,Malcolm Brogdon,1.3,,,,
2016,37,Chinanu Onuaku,-5.4,,,,
2016,38,Patrick McCaw,-2.8,,,,
2016,39,David Michineau,0,,,,
2016,40,Diamond Stone,-20.8,,,,
2016,41,Stephen Zimmerman,-8.3,,,,
2016,42,Isaiah Whitehead,-5,,,,
2016,43,Zhou Qi,-9.6,,,,
2016,44,Isaïa Cordinier,0,,,,
2016,45,Demetrius Jackson,-0.5,,,,
2016,46,A.J. Hammons,-6.6,,,,
2016,47,Jake Layman,-2.3,,,,
2016,48,Paul Zipser,-5.2,,,,
2016,49,Michael Gbinije,-12.1,,,,
2016,50,Georges Niang,-1.7,,,,
2016,51,Ben Bentil,-25.9,,,,
2016,52,Joel Bolomboy,-0.1,,,,
2016,53,Petr Cornelie,-8.8,,,,
2016,54,Kay Felder,-4.7,,,,
2016,55,Marcus Paige,-8.8,,,,
2016,56,Daniel Hamilton,-3.3,,,,
2016,57,Wang Zhelin,0,,,,
2016,58,Abdel Nader,-2.6,,,,
2016,59,Isaiah Cousins,0,,,,
2016,60,Tyrone Wallace,-5.2,,,,
2017,1,Markelle Fultz,-1.2,,,,
2017,2,Lonzo Ball,0.9,,,,
2017,3,Jayson Tatum,3.8,,,,
2017,4,Josh Jackson,-3.8,,,,
2017,5,De'Aaron Fox,0.9,,,,
2017,6,Jonathan Isaac,0.9,,,,
2017,7,Lauri Markkanen,1.1,,,,
2017,8,Frank Ntilikina,-4.4,,,,
