,PARID,PROPERTYZIP,SALEDATE,SALEPRICE,STORIES,YEARBLT,TOTALROOMS,BEDROOMS,FULLBATHS,HALFBATHS,FINISHEDLIVINGAREA,LOGPRICE
383371,0436H00016000000,15116,10/26/15,106000.0,1.5,1953.0,6.0,3.0,2.0,0.0,1368.0,5.02530586526477
111513,0014P00153000000,15210,2/25/04,3263.0,2.0,1925.0,7.0,3.0,2.0,0.0,1744.0,3.513617073787875
68021,0006G00132000000,15211,12/31/96,18000.0,2.0,1910.0,5.0,2.0,1.0,0.0,1152.0,4.2552725051033065
112024,0033K00033000000,15210,4/8/11,36000.0,2.0,1940.0,7.0,3.0,1.0,0.0,1330.0,4.556302500767287
350000,0097J00062000000,15226,9/10/07,132900.0,1.0,1946.0,5.0,3.0,1.0,1.0,924.0,5.123524980942732
83398,0042R00015000000,15204,3/1/01,90000.0,2.0,1959.0,6.0,3.0,1.0,0.0,1080.0,4.954242509439325
109044,0094F00303000000,15227,10/23/08,67000.0,1.0,1954.0,5.0,2.0,2.0,0.0,900.0,4.826074802700826
186714,0132L00008000000,15120,6/20/94,76000.0,1.5,1928.0,6.0,3.0,1.0,1.0,1573.0,4.880813592280791
179756,0131B00127000000,15120,5/13/94,16000.0,2.0,1925.0,6.0,3.0,1.0,1.0,1560.0,4.204119982655925
381694,0227P00066000000,15238,8/16/96,99500.0,2.0,1950.0,8.0,4.0,1.0,1.0,2720.0,4.997823080745725
273997,0637S00170000000,15146,4/30/84,42000.0,1.0,1958.0,5.0,3.0,1.0,0.0,900.0,4.623249290397901
157177,0372B00096000000,15235,7/17/00,225000.0,2.0,1975.0,8.0,4.0,2.0,2.0,3095.0,5.352182518111363
401190,0632P00122000000,15235,9/3/85,38000.0,1.0,1951.0,6.0,3.0,1.0,0.0,1200.0,4.57978359661681
184353,0118G00158000000,15209,3/6/92,15000.0,2.0,1900.0,6.0,2.0,2.0,0.0,1667.0,4.176091259055681
269673,0768K00230000000,15025,7/1/99,219700.0,2.0,1987.0,9.0,4.0,2.0,1.0,2987.0,5.34183005692051
94407,0046G00206000000,15214,12/29/03,25000.0,2.0,1900.0,6.0,3.0,1.0,0.0,1152.0,4.3979400086720375
305390,0652D00396000000,15135,6/3/97,66500.0,1.0,1962.0,6.0,3.0,1.0,0.0,1124.0,4.8228216453031045
171153,0221R00282000000,15223,12/3/16,50500.0,2.0,1912.0,5.0,2.0,2.0,0.0,1090.0,4.703291378118661
382320,0290J00154000000,15238,7/6/12,347628.0,2.0,1968.0,10.0,5.0,2.0,2.0,3601.0,5.5411147498127375
385659,0710B00068000000,15143,7/11/17,308000.0,2.0,2011.0,7.0,3.0,2.0,1.0,2346.0,5.488550716500444
222795,0232J00084000000,15221,7/23/04,14601.0,2.0,1900.0,8.0,4.0,3.0,0.0,2713.0,4.164382600963169
371375,0590P00088000000,15071,3/18/98,104000.0,2.0,1992.0,7.0,3.0,2.0,1.0,1386.0,5.017033339298781
400886,0632P00271000000,15235,7/24/91,58000.0,1.0,1960.0,6.0,3.0,2.0,0.0,1350.0,4.763427993562937
131410,0462J00210000000,15132,10/17/05,53000.0,2.0,1948.0,6.0,2.0,1.0,0.0,1242.0,4.724275869600789
401950,0633S00229000000,15235,6/2/04,109900.0,1.0,1970.0,7.0,4.0,2.0,0.0,1242.0,5.040997692423491
250451,0317J00142000000,15102,1/12/96,71000.0,1.5,1947.0,6.0,2.0,1.0,1.0,1074.0,4.8512583487190755
404538,1659J00017000000,15090,5/29/13,279630.0,2.0,2013.0,6.0,3.0,2.0,1.0,1870.0,5.446583762694299
260184,0774M00160000000,15102,7/17/15,183000.0,1.0,1966.0,7.0,3.0,1.0,1.0,1305.0,5.26245108973043
74910,0062P00002000000,15226,1/30/04,54500.0,2.0,1932.0,7.0,3.0,2.0,0.0,1438.0,4.7363965022766426
369548,0409J00014000000,15071,12/2/99,121298.0,2.0,2000.0,8.0,4.0,2.0,1.0,1800.0,5.083853640140072
210220,0235P00006000001,15218,1/8/13,40000.0,1.0,1950.0,5.0,2.0,1.0,0.0,780.0,4.6020599913279625
328545,1519J00335000000,15065,9/29/08,69000.0,2.0,1930.0,7.0,3.0,1.0,0.0,1120.0,4.838849090737256
78466,0019A00118000000,15220,11/16/16,46500.0,2.0,1920.0,6.0,3.0,1.0,0.0,1128.0,4.6674529528899535
223727,0232N00168000000,15221,3/7/11,40716.0,2.0,1915.0,9.0,3.0,2.0,1.0,2184.0,4.609765105692743
241074,0471R00019000000,15236,11/6/78,36500.0,1.0,1927.0,6.0,3.0,1.0,0.0,1450.0,4.562292864456475
318862,0718R00371000000,15101,10/23/98,70000.0,2.0,1950.0,6.0,3.0,1.0,0.0,1516.0,4.845098040014257
137102,0113G00064000000,15202,10/25/17,69900.0,2.0,1920.0,6.0,3.0,1.0,0.0,1536.0,4.8444771757456815
177363,0037S00196000000,15220,7/11/00,110000.0,1.0,1954.0,6.0,2.0,2.0,1.0,1446.0,5.041392685158225
99587,0045N00009000000,15212,7/12/00,28200.0,3.0,1900.0,7.0,4.0,1.0,0.0,2316.0,4.450249108319361
213145,0455K00166000000,15145,12/7/10,34000.0,2.0,1970.0,4.0,2.0,1.0,0.0,950.0,4.531478917042255
176946,0037H00248000000,15220,8/29/74,33600.0,1.0,1960.0,7.0,3.0,2.0,1.0,936.0,4.526339277389844
253881,0476D00174000000,15102,6/16/17,235000.0,2.0,1968.0,8.0,4.0,2.0,1.0,2128.0,5.371067862271736
138328,0160R00219000000,15202,10/24/07,122000.0,2.0,1920.0,6.0,3.0,1.0,1.0,1629.0,5.086359830674748
258412,0667N00146000000,15102,8/18/11,220000.0,2.0,1971.0,7.0,4.0,2.0,1.0,2060.0,5.342422680822207
60616,0012K00145000000,15203,6/8/11,88000.0,3.0,1900.0,13.0,6.0,3.0,0.0,3285.0,4.944482672150168
145366,0137N00152000000,15227,12/18/13,109500.0,2.0,1956.0,6.0,3.0,1.0,0.0,1080.0,5.039414119176137
200526,0383B00370000000,15133,11/8/11,60000.0,1.0,1950.0,6.0,2.0,1.0,1.0,882.0,4.778151250383644
68857,0006L00294000000,15211,10/31/17,294000.0,2.0,2006.0,6.0,2.0,1.0,1.0,1600.0,5.468347330412158
240167,0471A00161000000,15236,8/24/09,140000.0,1.0,1956.0,6.0,3.0,2.0,0.0,1435.0,5.146128035678238
117566,0138P00026000000,15227,7/17/92,39500.0,2.0,1930.0,6.0,3.0,1.0,1.0,1320.0,4.596597095626461
362822,0717B00295000000,15101,5/29/07,243000.0,2.0,1966.0,8.0,4.0,2.0,1.0,2439.0,5.385606273598312
