PopName,Sex,Year,Age,mx,qx,ax,lx,dx,Lx,Tx,ex
USA,f,1942,94,0.26085,0.23075,0.5,2472,570,2187,7666,3.10
USA,f,1942,95,0.30530,0.26487,0.5,1902,504,1650,5479,2.88
USA,f,1942,96,0.32459,0.27927,0.5,1398,390,1203,3829,2.74
USA,f,1942,97,0.34450,0.29388,0.5,1008,296,860,2626,2.61
USA,f,1942,98,0.36497,0.30865,0.5,712,220,602,1767,2.48
USA,f,1942,99,0.38594,0.32351,0.5,492,159,412,1165,2.37
USA,f,1942,100,0.40734,0.33841,0.5,333,113,276,753,2.26
USA,f,1942,101,0.42910,0.35330,0.5,220,78,181,476,2.16
USA,f,1942,102,0.45113,0.36810,0.5,142,52,116,295,2.07
USA,f,1942,103,0.47336,0.38277,0.5,90,34,73,179,1.99
USA,f,1942,104,0.49569,0.39724,0.5,56,22,45,106,1.91
USA,f,1942,105,0.51805,0.41147,0.5,33,14,27,61,1.84
USA,f,1942,106,0.54033,0.42540,0.5,20,8,16,35,1.77
USA,f,1942,107,0.56245,0.43899,0.5,11,5,9,19,1.71
USA,f,1942,108,0.58432,0.45220,0.5,6,3,5,11,1.66
USA,f,1942,109,0.60587,0.46500,0.5,3,2,3,6,1.62
USA,f,1942,110+,0.62701,1.00000,1.59,2,2,3,3,1.59
USA,f,1943,0,0.03710,0.03598,0.16,100000,3598,96967,6713688,67.14
USA,f,1943,1,0.00409,0.00408,0.5,96402,394,96206,6616722,68.64
USA,f,1943,2,0.00224,0.00224,0.5,96009,215,95901,6520516,67.92
USA,f,1943,3,0.00169,0.00169,0.5,95794,162,95713,6424615,67.07
USA,f,1943,4,0.00133,0.00133,0.5,95632,127,95568,6328902,66.18
USA,f,1943,5,0.00107,0.00107,0.5,95505,102,95454,6233334,65.27
USA,f,1943,6,0.00093,0.00093,0.5,95403,89,95358,6137880,64.34
USA,f,1943,7,0.00084,0.00084,0.5,95314,80,95274,6042522,63.40
USA,f,1943,8,0.00076,0.00076,0.5,95234,72,95198,5947248,62.45
USA,f,1943,9,0.00071,0.00071,0.5,95162,68,95128,5852050,61.50
USA,f,1943,10,0.00068,0.00068,0.5,95094,64,95062,5756922,60.54
USA,f,1943,11,0.00067,0.00066,0.5,95030,63,94998,5661860,59.58
USA,f,1943,12,0.00070,0.00070,0.5,94967,67,94933,5566861,58.62
USA,f,1943,13,0.00078,0.00078,0.5,94900,74,94863,5471928,57.66
USA,f,1943,14,0.00090,0.00090,0.5,94826,85,94784,5377064,56.70
USA,f,1943,15,0.00103,0.00103,0.5,94741,98,94692,5282281,55.75
USA,f,1943,16,0.00116,0.00116,0.5,94644,110,94589,5187588,54.81
USA,f,1943,17,0.00130,0.00130,0.5,94534,123,94472,5093000,53.87
USA,f,1943,18,0.00141,0.00141,0.5,94411,133,94345,4998527,52.94
USA,f,1943,19,0.00151,0.00151,0.5,94278,142,94207,4904183,52.02
USA,f,1943,20,0.00162,0.00162,0.5,94136,153,94060,4809975,51.10
USA,f,1943,21,0.00168,0.00168,0.5,93983,158,93904,4715915,50.18
USA,f,1943,22,0.00175,0.00175,0.5,93825,164,93743,4622011,49.26
USA,f,1943,23,0.00184,0.00184,0.5,93661,172,93575,4528267,48.35
USA,f,1943,24,0.00191,0.00191,0.5,93489,178,93400,4434692,47.44
USA,f,1943,25,0.00198,0.00197,0.5,93311,184,93218,4341292,46.53
USA,f,1943,26,0.00201,0.00201,0.5,93126,187,93033,4248074,45.62
USA,f,1943,27,0.00207,0.00207,0.5,92939,192,92843,4155041,44.71
USA,f,1943,28,0.00210,0.00210,0.5,92747,195,92650,4062198,43.80
USA,f,1943,29,0.00220,0.00219,0.5,92552,203,92451,3969549,42.89
USA,f,1943,30,0.00235,0.00235,0.5,92349,217,92241,3877098,41.98
USA,f,1943,31,0.00246,0.00245,0.5,92132,226,92019,3784857,41.08
USA,f,1943,32,0.00256,0.00256,0.5,91906,235,91789,3692838,40.18
USA,f,1943,33,0.00266,0.00265,0.5,91671,243,91549,3601050,39.28
USA,f,1943,34,0.00294,0.00293,0.5,91428,268,91294,3509500,38.39
USA,f,1943,35,0.00317,0.00317,0.5,91160,289,91016,3418206,37.50
USA,f,1943,36,0.00333,0.00333,0.5,90871,302,90720,3327191,36.61
USA,f,1943,37,0.00364,0.00363,0.5,90569,329,90405,3236471,35.73
USA,f,1943,38,0.00373,0.00372,0.5,90240,336,90072,3146066,34.86
USA,f,1943,39,0.00401,0.00400,0.5,89904,360,89725,3055994,33.99
USA,f,1943,40,0.00443,0.00442,0.5,89545,396,89347,2966269,33.13
USA,f,1943,41,0.00454,0.00453,0.5,89149,404,88947,2876922,32.27
USA,f,1943,42,0.00452,0.00451,0.5,88745,400,88545,2787975,31.42
USA,f,1943,43,0.00464,0.00463,0.5,88345,409,88141,2699430,30.56
USA,f,1943,44,0.00547,0.00546,0.5,87936,480,87696,2611290,29.70
USA,f,1943,45,0.00607,0.00605,0.5,87456,529,87192,2523593,28.86
USA,f,1943,46,0.00626,0.00624,0.5,86927,542,86656,2436402,28.03
USA,f,1943,47,0.00689,0.00687,0.5,86384,594,86088,2349746,27.20
USA,f,1943,48,0.00714,0.00711,0.5,85791,610,85486,2263658,26.39
USA,f,1943,49,0.00785,0.00782,0.5,85181,666,84848,2178172,25.57
USA,f,1943,50,0.00872,0.00868,0.5,84515,733,84148,2093325,24.77
USA,f,1943,51,0.00909,0.00905,0.5,83781,758,83402,2009177,23.98
