,date,current_price,month,year,previous_price
420,2008-08,1.3885142857142856,August,2008,1.4113636363636364
421,2008-09,1.374904761904762,September,2008,1.3885142857142856
422,2008-10,1.1478260869565218,October,2008,1.374904761904762
423,2008-11,1.1226842105263155,November,2008,1.1478260869565218
424,2008-12,1.0987272727272728,December,2008,1.1226842105263155
425,2009-01,1.1657,January,2009,1.0987272727272728
426,2009-02,1.1408315789473684,February,2009,1.1657
427,2009-03,1.1169090909090909,March,2009,1.1408315789473684
428,2009-04,1.1593619047619046,April,2009,1.1169090909090909
429,2009-05,1.29715,May,2009,1.1593619047619046
430,2009-06,1.2600636363636364,June,2009,1.29715
431,2009-07,1.1981363636363638,July,2009,1.2600636363636364
432,2009-08,1.2816190476190477,August,2009,1.1981363636363638
433,2009-09,1.2898571428571428,September,2009,1.2816190476190477
434,2009-10,1.3702045454545455,October,2009,1.2898571428571428
435,2009-11,1.37236,November,2009,1.3702045454545455
436,2009-12,1.4266818181818182,December,2009,1.37236
437,2010-01,1.401578947368421,January,2010,1.4266818181818182
438,2010-02,1.318642105263158,February,2010,1.401578947368421
439,2010-03,1.3361739130434782,March,2010,1.318642105263158
440,2010-04,1.332128571428571,April,2010,1.3361739130434782
441,2010-05,1.345025,May,2010,1.332128571428571
442,2010-06,1.5071863636363636,June,2010,1.345025
443,2010-07,1.6480476190476192,July,2010,1.5071863636363636
444,2010-08,1.73395,August,2010,1.6480476190476192
445,2010-09,1.870595238095238,September,2010,1.73395
446,2010-10,1.8866428571428573,October,2010,1.870595238095238
447,2010-11,2.0469904761904765,November,2010,1.8866428571428573
448,2010-12,2.208681818181818,December,2010,2.0469904761904765
449,2011-01,2.3595526315789472,January,2011,2.208681818181818
450,2011-02,2.5892789473684212,February,2011,2.3595526315789472
451,2011-03,2.7221956521739132,March,2011,2.5892789473684212
452,2011-04,2.817885,April,2011,2.7221956521739132
453,2011-05,2.749833333333333,May,2011,2.817885
454,2011-06,2.5801363636363637,June,2011,2.749833333333333
455,2011-07,2.5252,July,2011,2.5801363636363637
456,2011-08,2.5637086956521737,August,2011,2.5252
457,2011-09,2.5907142857142857,September,2011,2.5637086956521737
458,2011-10,2.327952380952381,October,2011,2.5907142857142857
459,2011-11,2.3093761904761902,November,2011,2.327952380952381
460,2011-12,2.248761904761905,December,2011,2.3093761904761902
461,2012-01,2.23245,January,2012,2.248761904761905
462,2012-02,2.088835,February,2012,2.23245
463,2012-03,1.8643863636363636,March,2012,2.088835
464,2012-04,1.7883,April,2012,1.8643863636363636
465,2012-05,1.7425454545454544,May,2012,1.7883
466,2012-06,1.5683666666666665,June,2012,1.7425454545454544
467,2012-07,1.8060714285714288,July,2012,1.5683666666666665
468,2012-08,1.6576260869565218,August,2012,1.8060714285714288
469,2012-09,1.7202368421052632,September,2012,1.6576260869565218
470,2012-10,1.647391304347826,October,2012,1.7202368421052632
471,2012-11,1.485142857142857,November,2012,1.647391304347826
472,2012-12,1.470475,December,2012,1.485142857142857
473,2013-01,1.5002857142857142,January,2013,1.470475
474,2013-02,1.415057894736842,February,2013,1.5002857142857142
475,2013-03,1.390225,March,2013,1.415057894736842
476,2013-04,1.3719863636363636,April,2013,1.390225
477,2013-05,1.3652727272727274,May,2013,1.3719863636363636
478,2013-06,1.234615,June,2013,1.3652727272727274
479,2013-07,1.2299545454545455,July,2013,1.234615
480,2013-08,1.1798954545454543,August,2013,1.2299545454545455
481,2013-09,1.1698,September,2013,1.1798954545454543
482,2013-10,1.127913043478261,October,2013,1.1698
483,2013-11,1.05658,November,2013,1.127913043478261
484,2013-12,1.1217857142857144,December,2013,1.05658
485,2014-01,1.1762380952380953,January,2014,1.1217857142857144
486,2014-02,1.5423631578947368,February,2014,1.1762380952380953
487,2014-03,1.889857142857143,March,2014,1.5423631578947368
488,2014-04,1.972823809523809,April,2014,1.889857142857143
489,2014-05,1.8855454545454544,May,2014,1.972823809523809
490,2014-06,1.7180142857142855,June,2014,1.8855454545454544
491,2014-07,1.7259318181818182,July,2014,1.7180142857142855
492,2014-08,1.8808285714285713,August,2014,1.7259318181818182
493,2014-09,1.887809523809524,September,2014,1.8808285714285713
494,2014-10,2.05054347826087,October,2014,1.887809523809524
